"product_name","product_link","category_name","category_url"
"101 Songs For Easy Guitar 3","https://www.kosmic.com.au/101-songs-for-easy-guitar-3","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"101 Songs For Easy Guitar 4","https://www.kosmic.com.au/101-songs-for-easy-guitar-4","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"101 Songs For Easy Guitar 5","https://www.kosmic.com.au/101-songs-for-easy-guitar-5","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"101 Songs For Easy Guitar 7","https://www.kosmic.com.au/101-songs-for-easy-guitar-7","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"101 Songs For Easy Guitar Vol. 6","https://www.kosmic.com.au/101-songs-for-easy-guitar-vol.-6","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"4 Chord Songbook Acoustic Hits","https://www.kosmic.com.au/4-chord-songbook-acoustic-hits","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"4 Chord Songbook Beatles","https://www.kosmic.com.au/4-chord-songbook-beatles","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"4 Chord Songbook Bob Marley","https://www.kosmic.com.au/4-chord-songbook-bob-marley","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Aaron Shearer Classical Guitar Technique Vol 1 With CD","https://www.kosmic.com.au/aaron-shearer-classical-guitar-technique-vol-1-wit","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Aaron Shearer Guitar Method Book 2","https://www.kosmic.com.au/aaron-shearer-guitar-method-book-2","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"ABC of Drumming - Serge Carnovale Book Only","https://www.kosmic.com.au/abc-of-drumming-serge-carnovale-book-only","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Absolute Beginners Banjo","https://www.kosmic.com.au/absolute-beginners-banjo","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Absolute Beginners Guitar - BOOK/DVD","https://www.kosmic.com.au/absolute-beginners-guitar-book-dvd","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
