"product_name","product_link","category_link"
"Gretsch G9201 Honey Dipper Round-Neck Resonator","https://www.ghmusic.com.au/gretsch-g9201-honey-dipper-round-neck-resonator.html","https://www.ghmusic.com.au/guitars?limit=all"
"Mahalo MR1GN Ukelele","https://www.ghmusic.com.au/mahalo-u30g-ukelele.html","https://www.ghmusic.com.au/guitars?limit=all"
"Mahalo MR1LBU Ukelele","https://www.ghmusic.com.au/mahalo-u30lb-ukelele.html","https://www.ghmusic.com.au/guitars?limit=all"
"Mahalo MR1RD Ukelele","https://www.ghmusic.com.au/mahalo-u30-ukelele.html","https://www.ghmusic.com.au/guitars?limit=all"
"Mahalo MR1WT Ukelele","https://www.ghmusic.com.au/mahalo-u30w-ukelele.html","https://www.ghmusic.com.au/guitars?limit=all"
"Gretsch G9450 Dixie Banjo","https://www.ghmusic.com.au/gretsch-g9450-dixie-banjo.html","https://www.ghmusic.com.au/guitars?limit=all"
"Planet Waves NS Capo Lite","https://www.ghmusic.com.au/planet-waves-ns-capo-lite.html","https://www.ghmusic.com.au/guitars?limit=all"
"Dunlop Glass Slide Regular 202","https://www.ghmusic.com.au/dunlop-glass-slide-regular-202.html","https://www.ghmusic.com.au/guitars?limit=all"
"Dunlop Glass Slide Heavy 212","https://www.ghmusic.com.au/dunlop-glass-slide-heavy-212.html","https://www.ghmusic.com.au/guitars?limit=all"
"Dunlop Brass Slide 224","https://www.ghmusic.com.au/dunlop-brass-slide-224.html","https://www.ghmusic.com.au/guitars?limit=all"
"Dunlop Joe Perry Boneyard Slide 256","https://www.ghmusic.com.au/dunlop-joe-perry-boneyard-slide-256.html","https://www.ghmusic.com.au/guitars?limit=all"
"Planet Waves Screeching Halt Acoustic Soundhole Cover","https://www.ghmusic.com.au/planet-waves-screeching-halt.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Affinity Telecaster Pack ""Sunburst""","https://www.ghmusic.com.au/squier-affinity-telecaster-pack-sunburst.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Affinity Strat HSS Pack ""Sunburst""","https://www.ghmusic.com.au/squier-affinity-strat-hss-pack-sunburst.html","https://www.ghmusic.com.au/guitars?limit=all"
"FENDER PERFORMANCE SERIES INSTRUMENT CABLES 10Ft","https://www.ghmusic.com.au/fender-performance-series-instrument-cables-10ft.html","https://www.ghmusic.com.au/guitars?limit=all"
"FENDER PERFORMANCE SERIES INSTRUMENT CABLES 18FT Right Angle","https://www.ghmusic.com.au/fender-performance-series-instrument-cables-18ft-right-angle.html","https://www.ghmusic.com.au/guitars?limit=all"
"FENDER CUSTOM SHOP PERFORMANCE SERIES CABLES TWEED 10FT ANGLE","https://www.ghmusic.com.au/fender-custom-shop-performance-series-cables-tweed-10ft-angle.html","https://www.ghmusic.com.au/guitars?limit=all"
"Line 6 DL4 Delay Modeler","https://www.ghmusic.com.au/line-6-dl4.html","https://www.ghmusic.com.au/guitars?limit=all"
"Martin DRS2 Dreadnought Acoustic Electric Guitar","https://www.ghmusic.com.au/martin-drs2.html","https://www.ghmusic.com.au/guitars?limit=all"
"Martin OM-21 Acoustic Guitar","https://www.ghmusic.com.au/martin-om-21.html","https://www.ghmusic.com.au/guitars?limit=all"
"Martin D-18 Dreadnought Guitar","https://www.ghmusic.com.au/martin-d-18.html","https://www.ghmusic.com.au/guitars?limit=all"
"Boss TR-2 Tremolo Pedal","https://www.ghmusic.com.au/boss-tr-2-tremolo.html","https://www.ghmusic.com.au/guitars?limit=all"
"Roland EV-5 Expression Pedal","https://www.ghmusic.com.au/roland-ev-5-7-expression-pedals.html","https://www.ghmusic.com.au/guitars?limit=all"
"Roland GA-FC GA Foot Controller","https://www.ghmusic.com.au/roland-ga-fc-ga-foot-controller.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender CD-60CE Mahogany Acoustic Electric Guitar","https://www.ghmusic.com.au/fender-cd-60ce-all-mahogany.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender CD-60 All Mahogany Acoustic Guitar","https://www.ghmusic.com.au/fender-cd-60-all-mahogany.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender CF-140SCE Acoustic Electric Guitar","https://www.ghmusic.com.au/fender-cf-140sce.html","https://www.ghmusic.com.au/guitars?limit=all"
"DR Strings Tite-Fit MT-10 Medium-Tite Nickel Plated Electric Guitar Strings","https://www.ghmusic.com.au/dr-strings-tite-fit-mt-10-medium-tite-nickel-plated-electric-guitar-strings.html","https://www.ghmusic.com.au/guitars?limit=all"
"DR Strings RPML-11 RARE Phosphor Bronze Acoustic Guitar Strings ","https://www.ghmusic.com.au/dr-strings-rpml-11-rare-phosphor-bronze-acoustic-guitar-strings.html","https://www.ghmusic.com.au/guitars?limit=all"
"Ashton SPD25NTM Guitar Pack Natural","https://www.ghmusic.com.au/ashton-spd25ntm-guitar-pack-natural.html","https://www.ghmusic.com.au/guitars?limit=all"
"Ashton SPD25CEQ Acoustic Electric Guitar Pack Natural (Left Handed)","https://www.ghmusic.com.au/ashton-spd25ceq-acoustic-electric-guitar-pack-natural-left-handed.html","https://www.ghmusic.com.au/guitars?limit=all"
"DiMarzio DP155B ""The Tone Zone"" Pick-up","https://www.ghmusic.com.au/dimarzio-the-tone-zone.html","https://www.ghmusic.com.au/guitars?limit=all"
"DiMarzio DP130 Acoustic Model Pick-up","https://www.ghmusic.com.au/dimarzio-acoustic-model.html","https://www.ghmusic.com.au/guitars?limit=all"
"Seymour Duncan Hot Rodded Humbucker Set","https://www.ghmusic.com.au/seymour-duncan-hot-rodded-humbucker-set.html","https://www.ghmusic.com.au/guitars?limit=all"
"Seymour Duncan SET-VB Vintage Blues Humbucker Set","https://www.ghmusic.com.au/seymour-duncan-vintage-blues-humbucker-set.html","https://www.ghmusic.com.au/guitars?limit=all"
"Seymour Duncan SL59-1BW Little '59 for Strat","https://www.ghmusic.com.au/seymour-duncan-little-59-for-strat.html","https://www.ghmusic.com.au/guitars?limit=all"
"Seymour Duncan SJBJ-1BW JB Jr. for Strat","https://www.ghmusic.com.au/seymour-duncan-jb-jr-for-strat.html","https://www.ghmusic.com.au/guitars?limit=all"
"Seymour Duncan STL-3 Quarter Pound for Tele (Bridge)","https://www.ghmusic.com.au/seymour-duncan-quarter-pound-for-tele-bridge.html","https://www.ghmusic.com.au/guitars?limit=all"
"Seymour Duncan APH-1NNC Alnico II Pro Humbucker","https://www.ghmusic.com.au/seymour-duncan-alnico-ii-pro-humbucker.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Classic Series 1972 Telecaster Deluxe ""Black"" Guitar","https://www.ghmusic.com.au/classic-series-1972-telecaster-deluxe-black.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Classic Series 1972 Thinline ""Natural"" Guitar","https://www.ghmusic.com.au/classic-series-1972-thinline-natural.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Eric Claptop 'Blackie' Stratocaster SSS Guitar","https://www.ghmusic.com.au/eric-claptop-blackie-stratocaster-sss.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Classic Player Jazzmaster ""Black"" Guitar","https://www.ghmusic.com.au/classic-player-jazzmaster-black.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Standard  ""Black"" Telecaster Guitar","https://www.ghmusic.com.au/standard-telecaster-black.html","https://www.ghmusic.com.au/guitars?limit=all"
"Martin 0XK Ukelele","https://www.ghmusic.com.au/martin-0xk-ukelele.html","https://www.ghmusic.com.au/guitars?limit=all"
"Cole Clark Fl1E 12 String Acoustic Electric Guitar","https://www.ghmusic.com.au/cole-clark-fl1a-12-string.html","https://www.ghmusic.com.au/guitars?limit=all"
"Cole Clark Angel 2EC Rosewood Acoustic Electric Guitar","https://www.ghmusic.com.au/cole-clark-angel-2ac-rosewood.html","https://www.ghmusic.com.au/guitars?limit=all"
"Crafter DE 6/N Acoustic Electric Guitar","https://www.ghmusic.com.au/crafter-de-6-n.html","https://www.ghmusic.com.au/guitars?limit=all"
"Crafter DE 7/N Acoustic Electric Guitar","https://www.ghmusic.com.au/crafter-de-7-n.html","https://www.ghmusic.com.au/guitars?limit=all"
